HCO Rank,Decile,HCO NPI,HCO Name,HCO Classification,HCO Facility Type,HCO Address,HCO City,HCO State,HCO Zip,Patient Counts
1,10,1881990869,PERSONAL RECOVERY NETWORK LLC,Community,Ambulatory Health Care Facilities,250 CORPORATE CENTER CT,STOCKBRIDGE,GA,30281,2841
2,10,1811915713,PSYCHOLOGICAL  BEHAVIORAL CONSULTANTS LLC,Community,Ambulatory Health Care Facilities,25101 CHAGRIN BLVD STE 100,BEACHWOOD,OH,44122,2524
3,10,1659567238,PROGRESSIVE BEHAVIORAL HEALTH PLLC,Community,Ambulatory Health Care Facilities,308 S FRIENDSWOOD DR STE 200,FRIENDSWOOD,TX,77546,1459
4,10,1396750188,NYSTROM  ASSOCIATES LTD,Community,Ambulatory Health Care Facilities,"1900 SILVER LAKE RD NW, SUITE 110",NEW BRIGHTON,MN,55112,1448
5,10,1154697944,MARK DAVID LEVINE MD PROFESSIONAL CORPORATION,Community,Ambulatory Health Care Facilities,"3835 N FREEWAY BLVD, STE100",SACRAMENTO,CA,95834,1435
6,10,1295866135,DOWNRIVER MENTAL HEALTH CLINIC PC,Community,Ambulatory Health Care Facilities,"20500 EUREKA RD, SUITE 200",TAYLOR,MI,48180,1395
7,10,1841498060,TERROS INC,Community,Agencies,3003 N CENTRAL AVE STE 400,PHOENIX,AZ,85012,1102
8,10,1245781160,MEDTRANS BEHAVIORAL NEVADA CASAL PLLC,Community,Agencies,850 MILL ST STE 100,RENO,NV,89502,1094
9,10,1649217761,INLAND PSYCHIATRIC MEDICAL GROUP INC,Community,Ambulatory Health Care Facilities,1809 W REDLANDS BLVD,REDLANDS,CA,92373,1088
10,10,1497933162,MILLENNIUM HEALTH LLC,Community,Laboratories,16981 VIA TAZON,SAN DIEGO,CA,92127,1067
11,10,1417373713,EHAB YACOUB MD INC,Community,Agencies,1225 W 190TH ST STE 280,GARDENA,CA,90248,1060
12,10,1275617508,MATTHEW A BERGER MD PC,Community,Ambulatory Health Care Facilities,340 MONTAGE MOUNTAIN RD,MOOSIC,PA,18507,1052
13,10,1831701671,PURE PSYCHIATRY OF MICHIGAN PLLC,Community,Ambulatory Health Care Facilities,34841 VETERANS PLAZA,WAYNE,MI,48184,1043
14,10,1679525919,THE CLEVELAND CLINIC FOUNDATION,Academic,Hospitals,9500 EUCLID AVE,CLEVELAND,OH,44195,993
15,10,1164518163,BURKE CENTER,Community,Suppliers,2704 HOMER ALTO RD,LUFKIN,TX,75904,942
16,10,1912008178,WESTERN PSYCHOLOGICAL AND COUNSELING SERVICES LLC,Community,Ambulatory Health Care Facilities,2420 S UNION AVE,TACOMA,WA,98405,913
17,10,1356685218,PACIFIC NEUROPSYCHIATRIC SPECIALISTS INC,Community,Ambulatory Health Care Facilities,3151 AIRWAY AVE STE G1,COSTA MESA,CA,92626,897
18,10,1427271378,AURORA MEDICAL GROUP INC,Community,Ambulatory Health Care Facilities,3301 W FOREST HOME AVE,MILWAUKEE,WI,53215,868
19,10,1619965795,COMPASS HEALTH SYSTEMS PA,Community,Agencies,1065 NE 125TH ST STE 206,NORTH MIAMI,FL,33161,868
20,10,1023125465,PACIFIC COAST PSYCHIATRIC ASSOCIATES INC,Community,Ambulatory Health Care Facilities,7373 N SCOTTSDALE RD STE A199,SCOTTSDALE,AZ,85253,828
21,10,1518386739,CNP OPERATING CO LLC,Community,Ambulatory Health Care Facilities,105 TIME SQ,SALISBURY,MD,21801,821
22,10,1225067481,NORTHEAST HEALTH SERVICES LLC,Community,Ambulatory Health Care Facilities,"30 TAUNTON GREEN, SUITE 5",TAUNTON,MA,02780,806
23,10,1225110497,ACCU REFERENCE MEDICAL LAB LLC,Community,Laboratories,"1901 E LINDEN AVE, SUITE 4",LINDEN,NJ,07036,800
24,10,1346287240,OSCEOLA MENTAL HEALTH INC,Community,Ambulatory Health Care Facilities,206 PARK PLACE BLVD,KISSIMMEE,FL,34741,799
25,10,1063842870,HARMONY UNITED FLORIDA LLC,Community,Ambulatory Health Care Facilities,15544 W COLONIAL DR,WINTER GARDEN,FL,34787,765
26,10,1588038681,HEART CENTERED COUNSELING PC,Community,Ambulatory Health Care Facilities,215 W OAK ST FL 4,FORT COLLINS,CO,80521,735
27,10,1902980865,MOUNTAIN COMPREHENSIVE HEALTH CORPORATION,Community,Ambulatory Health Care Facilities,226 MEDICAL PLAZA LN,WHITESBURG,KY,41858,728
28,10,1700894466,VIRGINIA SOUTH PSYCHIATRIC  FAMILY SERVICES,Community,Ambulatory Health Care Facilities,269 MEDICAL PARK BLVD,PETERSBURG,VA,23805,703
29,10,1720251788,GREATER CINCINNATI BEHAVIORAL HEALTH SERVICES,Community,Agencies,1501 MADISON RD,WALNUT HILLS,OH,45206,691
30,10,1609882067,ISMAIL B SENDI MD PC,Community,Ambulatory Health Care Facilities,"6549 TOWN CENTER DR, SUITE A",CLARKSTON,MI,48346,683
31,10,1922427517,ASTRA BEHAVIORAL HEALTH LLC,Community,Ambulatory Health Care Facilities,2000 RING RD,ELIZABETHTOWN,KY,42701,660
32,10,1942526298,INTEGRATED REGIONAL LABORATORIES PATHOLOGY SERVICES LLC,Community,Ambulatory Health Care Facilities,"5301 S CONGRESS AVE, C/O JFK MEDICAL CENTER LABORATORY",ATLANTIS,FL,33462,657
33,10,1508803388,CENTER FOR FAMILY GUIDANCE PC,Community,Ambulatory Health Care Facilities,"765 EAST ROUTE 70, BUILDING A",MARLTON,NJ,08053,624
34,10,1336483742,FOCUS MENTAL HEALTH SOLUTIONS BHUSHAN WIRJO ITZHAKI STILL PLLC,Community,Ambulatory Health Care Facilities,8950 W TROPICANA AVE STE 1,LAS VEGAS,NV,89147,622
35,10,1881044337,TEXAS BEHAVIORAL HEALTH PLLC,Community,Ambulatory Health Care Facilities,"12234 SHADOW CREEK PKWY, BUILDING 4 SUITE 104",PEARLAND,TX,77584,612
36,10,1518360296,BAPTIST HEALTH MEDICAL GROUP INC,Community,Ambulatory Health Care Facilities,"4071 TATES CREEK CENTRE DR, STE 202",LEXINGTON,KY,40517,611
37,10,1952485864,DELAWARE COUNTY PROFESSIONAL SERVICES INC,Community,Ambulatory Health Care Facilities,1055 E BALTIMORE PIKE STE 303,MEDIA,PA,19063,611
38,10,1245845932,GROW HEALTHCARE GROUP PA,Community,Agencies,66 W FLAGLER ST STE 900,MIAMI,FL,33130,599
39,10,1134128820,CHEROKEE HEALTH SYSTEMS,Community,Ambulatory Health Care Facilities,6350 W ANDREW JOHNSON HWY,TALBOTT,TN,37877,574
40,10,1174931448,DOCTOR ON DEMAND PROFESSIONALS P C,Community,Ambulatory Health Care Facilities,1 CALIFORNIA ST STE 2300,SAN FRANCISCO,CA,94111,564
41,10,1497701882,ENDEAVOR HEALTH MEDICAL GROUP,Academic,Ambulatory Health Care Facilities,1000 CENTRAL ST,EVANSTON,IL,60201,553
42,10,1265485270,SENTARA MEDICAL GROUP,Community,Ambulatory Health Care Facilities,824 N MILITARY HWY STE 100,NORFOLK,VA,23502,538
43,10,1295914646,EDGEWOOD CLINICAL SERVICES PC,Community,Ambulatory Health Care Facilities,2948 ARTESIAN RD STE 112,NAPERVILLE,IL,60564,535
44,10,1508124488,COMMUNITY BRIDGES INC,Community,Agencies,"1855 W BASELINE RD, SUITE 101",MESA,AZ,85202,532
45,10,1033127246,CORNERSTONE COUNSELING SERVICES INC,Community,Ambulatory Health Care Facilities,"16535 W BLUEMOUND RD, SUITE 200",BROOKFIELD,WI,53005,479
46,10,1780076562,ACCLAIM PHYSICIAN GROUP INC,Community,Ambulatory Health Care Facilities,1500 S MAIN ST,FORT WORTH,TX,76104,477
47,9,1316375678,CHARLESTON COUNSELING CENTER PC,Community,Ambulatory Health Care Facilities,871 LOWCOUNTRY BLVD STE 200,MOUNT PLEASANT,SC,29464,463
48,9,1508803214,MINDPATH CARE CENTERS NORTH CAROLINA PLLC,Community,Ambulatory Health Care Facilities,4220 APEX HWY STE 200,DURHAM,NC,27713,458
49,9,1144275389,THE COUNSELING CENTER OF NASHUA INC,Community,Ambulatory Health Care Facilities,1 MAIN ST,NASHUA,NH,03064,455
