Trial ID,NPI,HCP First Name,HCP Last Name,Trial Title,Trial Status,Trial Detailed Status,Trial Start Date,Trial End Date,Phase,Lead Sponsor,Lead Sponsor Class,Condition Mesh Terms,Facility City,Facility State,Facility Zip
NCT05624268,1992926265,NANCY,BLOSS TUMARKIN,"A Phase III, Multicentre, Randomised, Double-blind, Placebo-controlled Study to Investigate the Efficacy, Safety, and Tolerability of COMP360 in Participants With Treatment-resistant Depression",Open,Recruiting,2023-01-19,2026-02-01,Phase3,Compass Pathways,Industry,"Depressive Disorder, Treatment-Resistant; Depression",Tampa,FL,33782
NCT05564390,1992895510,PAUL,SHAMI,Master Screening and Reassessment Protocol (MSRP) for the NCI MyeloMATCH Clinical Trials,Open,Recruiting,2024-06-18,2029-05-15,Phase2,National Cancer Institute (Nci),NIH,Myelodysplastic Syndromes,Salt Lake City,UT,84112
NCT05886049,1992895510,PAUL,SHAMI,A Phase 1b Study of Menin Inhibitor SNDX-5613 in Combination With Daunorubicin and Cytarabine in Newly Diagnosed Patients With Acute Myeloid Leukemia and NPM1 Mutated/FLT3 Wildtype or MLL/KMT2A Rearranged Disease.,Open,Recruiting,2024-06-20,2027-12-31,Phase1,National Cancer Institute (Nci),NIH,"Leukemia; Leukemia, Myeloid; Leukemia, Myeloid, Acute",Salt Lake City,UT,84112
NCT05554406,1992895510,PAUL,SHAMI,"A Randomized Phase II Study Comparing Cytarabine + Daunorubicin (7 + 3) vs (Daunorubicin and Cytarabine) Liposome, Cytarabine + Daunorubicin + Venetoclax, Azacitidine + Venetoclax, and (Daunorubicin and Cytarabine) Liposome + Venetoclax in Patients Aged 59 or Younger Who Are Considered High-Risk (Adverse) Acute Myeloid Leukemia As Determined by MYELOMATCH; A MYELOMATCH Clinical Trial",Open,Recruiting,2024-09-25,2027-03-31,Phase2,National Cancer Institute (Nci),NIH,"Myeloproliferative Disorders; Leukemia, Myeloid; Leukemia, Myeloid, Acute; Myelodysplastic-Myeloproliferative Diseases; Leukemia",Salt Lake City,UT,84112
NCT06317649,1992895510,PAUL,SHAMI,A Randomized Phase II Study of Venetoclax and HMA-Based Therapies for the Treatment of Older and Unfit Adults With Newly Diagnosed FLT3-Mutated Acute Myeloid Leukemia (AML): A MyeloMATCH Treatment Trial,Open,Recruiting,2024-09-27,2025-10-31,Phase2,National Cancer Institute (Nci),NIH,"Leukemia, Myeloid, Acute; Leukemia; Leukemia, Myeloid",Salt Lake City,UT,84112
NCT05554393,1992895510,PAUL,SHAMI,"A Measurable Residual Disease (MRD) Driven, Phase II Study of Venetoclax Plus Chemotherapy for Newly Diagnosed Younger Patients With Intermediate Risk Acute Myeloid Leukemia: A Tier 1 MYELOMATCH Clinical Trial",Open,Recruiting,2024-09-13,2025-12-31,Phase2,National Cancer Institute (Nci),NIH,"Leukemia; Leukemia, Myeloid, Acute; Leukemia, Myeloid",Salt Lake City,UT,84112
NCT05180773,1992885040,AFSHAN B,HAMEED,Randomized Evaluation of Bromocriptine In Myocardial Recovery THerapy for Peripartum Cardiomyopathy (REBIRTH),Open,Recruiting,2022-07-27,2028-12-31,Phase4,"Dennis M. Mcnamara, Md, Ms",Other,Cardiomyopathies,Orange,CA,92868
NCT05027464,1992881684,JEFFREY,PYNE,Developing and Testing a COVID-19 Vaccination Acceptance Intervention,Closed,Completed,2022-04-05,2024-09-30,Na,Va Office Of Research And Development,FED,COVID-19,North Little Rock,AR,72114
NCT06899802,1992749873,BRIAN,SMITH,"A Two-stage, Randomized, Double-blind, Dose Ranging Phase 2 Trial in Healthy Adult Participants to Investigate Optimal Dose and Dosing Regimen, and to Evaluate Safety and Immunogenicity of the Recombinant MVA-BN-WEV Vaccine",Open,Recruiting,2025-03-10,2027-03-01,Phase2,Bavarian Nordic,Industry,Encephalitis,Versailles,KY,40383
NCT06576843,1992740278,RAJINDER,SHIWACH,"An Open-label, Multicentre Study to Evaluate the Pharmacokinetics, Safety, and Tolerability of Repeated Doses of INDV-6001 in Adults with Moderate to Severe Opioid Use Disorder",Open,Recruiting,2024-09-17,2025-10-01,Phase2,Indivior Inc.,Industry,Opioid-Related Disorders,Desoto,TX,75115
NCT06564818,1992740278,RAJINDER,SHIWACH,"A Phase III, Placebo-Controlled, Randomized, Double-Blind Trial of Oral Doses of CYB003 to Assess Combined Safety and Efficacy in Humans With Major Depressive Disorder",Open,Recruiting,2024-11-15,2026-05-01,Phase3,Cybin Irl Limited,Industry,"Depression; Depressive Disorder, Major; Depressive Disorder",Desoto,TX,75115
NCT04828382,1992465363,DAVID,WEAVER,A Prospective Study Evaluating Maternal and Fetal Outcomes in the Era of Modulators,Open,Active_Not_Recruiting,2021-09-30,2026-12-30,,Amalia Magaret,Other,Fibrosis; Cystic Fibrosis,Cleveland,OH,44195
NCT06504589,1992465363,DAVID,WEAVER,A Research Study to Advance the CF Therapeutics Pipeline for People Without Modulators,Open,Recruiting,2024-09-18,2029-08-14,,Nicole Hamblett,Other,Cystic Fibrosis,Cleveland,OH,44195
NCT06612541,1992068951,IRINA,DE LA HUERTA,Point-of-Care Ophthalmic Diagnostic Imaging of Retinopathy of Prematurity,Open,Not_Yet_Recruiting,2025-01-01,2030-02-01,,Vanderbilt University Medical Center,Other,Premature Birth; Retinopathy of Prematurity; Retinal Diseases,Nashville,TN,37232
NCT06212791,1992066583,CORY,TRANKLE,EXCLAMATORY: EXercise Cardiac Magnetic Resonance Assessment of Left Atrial Mechanics Following Ablation TO Reduce Atrial Fibrillation Burden and Correlation With Exercise CapacitY Longitudinal Study,Open,Recruiting,2024-12-26,2028-03-01,,Virginia Commonwealth University,Other,Atrial Fibrillation,Richmond,VA,23298
NCT06453213,1982929253,PREETHI,DURGAM,Open-label Study of Cenobamate Monotherapy in Adult Subjects With Newly Diagnosed or Recurrent Partial-Onset Epilepsy,Open,Recruiting,2024-10-14,2027-07-09,Phase4,"Sk Life Science, Inc.",Industry,Epilepsy; Seizures,Cypress,TX,77429
NCT06003426,1982923439,JAMIE,SHETH,"A Multicenter, Randomized, Double-blind, Placebo-controlled, Phase 3 Study to Evaluate the Efficacy, Safety, and Tolerability of BMS-986278 in Participants With Idiopathic Pulmonary Fibrosis",Open,Recruiting,2023-09-14,2026-10-26,Phase3,Bristol-Myers Squibb,Industry,Pulmonary Fibrosis; Idiopathic Pulmonary Fibrosis; Fibrosis,Ann Arbor,MI,48109
NCT06025578,1982923439,JAMIE,SHETH,"A Multicenter, Randomized, Double-blind, Placebo-controlled, Phase 3 Study to Evaluate the Efficacy, Safety, and Tolerability of BMS-986278 in Participants With Progressive Pulmonary Fibrosis",Open,Recruiting,2023-10-25,2027-12-27,Phase3,Bristol-Myers Squibb,Industry,Pulmonary Fibrosis; Fibrosis,Ann Arbor,MI,48109
NCT06431815,1982801858,JAMES,HAMILTON,"Prospective, Multi-site Safety and Effectiveness Post-Approval Study of FARAPULSE Pulsed Field Ablation in Paroxysmal Atrial Fibrillation",Open,Recruiting,2024-09-25,2029-10-01,,Boston Scientific Corporation,Industry,Atrial Fibrillation,Jackson,MS,39216
NCT06654752,1982754925,MARIA,DOWELL,Streamlined Treatment of Pulmonary Exacerbations in Pediatrics Randomized Controlled Trial (STOP PEDS RCT),Open,Recruiting,2024-12-01,2029-02-28,Na,"University Of Washington, The Collaborative Health Studies Coordinating Center",Other,Fibrosis; Cystic Fibrosis,Chicago,IL,60611
NCT05624268,1982749941,CHARLES,DEBATTISTA,"A Phase III, Multicentre, Randomised, Double-blind, Placebo-controlled Study to Investigate the Efficacy, Safety, and Tolerability of COMP360 in Participants With Treatment-resistant Depression",Open,Recruiting,2023-01-19,2026-02-01,Phase3,Compass Pathways,Industry,"Depressive Disorder, Treatment-Resistant; Depression",Stanford,CA,94305
NCT06792539,1982673380,ANTHONY,CARTER,"A Multi-Center, Prospective, Non-Randomized, Pivotal Trial Evaluating the Safety and Effectiveness of the Polymotion Hip Resurfacing System",Open,Recruiting,2025-01-22,2028-01-01,Na,Jointmedica Inc.,Other,"Osteoarthritis; Osteoarthritis, Hip; Joint Diseases",Newport News,VA,23606
NCT06433635,1982670279,MICHAEL,THASE,Sequential Multiple Assignment Randomized Trial for Bipolar Depression,Open,Not_Yet_Recruiting,2024-09-01,2030-02-28,Phase4,Massachusetts General Hospital,Other,Bipolar Disorder; Depression; Depressive Disorder,Philadelphia,PA,19104
NCT06308653,1982612040,SEJAL,MEHTA,"A Phase 3, Randomized, Double-Blind, Multicenter Study to Evaluate the Efficacy, Safety, and Tolerability of Psilocybin in Adults with Major Depressive Disorder (MDD)",Open,Recruiting,2024-03-05,2026-04-01,Phase3,Usona Institute,Other,"Depressive Disorder; Depression; Depressive Disorder, Major",Plano,TX,75093
NCT05733546,1982612040,SEJAL,MEHTA,"A Phase II, Multicentre, Randomised, Double-blind, Controlled Study to Investigate the Safety, Tolerability, Pharmacokinetics, and Efficacy of COMP360 in Participants With Recurrent Major Depressive Disorder",Open,Recruiting,2023-01-30,2024-11-01,Phase2,Compass Pathways,Industry,"Depressive Disorder, Major; Depression; Depressive Disorder",Plano,TX,75093
NCT06564818,1982612040,SEJAL,MEHTA,"A Phase III, Placebo-Controlled, Randomized, Double-Blind Trial of Oral Doses of CYB003 to Assess Combined Safety and Efficacy in Humans With Major Depressive Disorder",Open,Recruiting,2024-11-15,2026-05-01,Phase3,Cybin Irl Limited,Industry,"Depression; Depressive Disorder, Major; Depressive Disorder",Plano,TX,75093
NCT06921356,1982376802,LETITIA,THOMAS,Groceries Plus Multi-Component Lifestyle Intervention for Adults With Hypertension and Type 2 Diabetes Residing in Urban Food Deserts (DASH-Life): Pilot Randomized Clinical Trial,Open,Recruiting,2025-05-15,2026-06-30,Na,Johns Hopkins University,Other,"Diabetes Mellitus; Hypertension; Diabetes Mellitus, Type 2",Baltimore,MD,21207
NCT06581523,1982368460,VENETIA,BENNETT,A Feasibility and Efficacy Study of a Breathwork and Meditation Intervention (SKY Breath) on the Psychophysiological Well-Being of Individuals With Parkinson's Disease (iPD) and Their Care Partners,Open,Recruiting,2024-10-19,2025-07-01,Na,Nova Southeastern University,Other,Parkinson Disease,Fort Lauderdale,FL,33328
NCT05284838,1982041174,LEONARDO,ALIAGA,"The FAIL CT Study: Facilitating Adaptive Expertise in Learning Computed Tomography, a Multi-center Randomized Controlled Trial",Closed,Completed,2022-07-18,2023-09-30,Na,Stanford University,Other,,Stanford,CA,94305
NCT06084416,1972895092,GREGORY,GRESSEL,A Phase 1b Dose Optimization Study of Sovilnesib (an Oral KIF18A Inhibitor) in Subjects with Advanced High Grade Serous Ovarian Cancer,Open,Recruiting,2024-04-04,2025-07-01,Phase1,"Volastra Therapeutics, Inc.",Industry,"Chromosomal Instability; Fallopian Tube Neoplasms; Cystadenocarcinoma, Serous",Grand Rapids,MI,49503
NCT05445778,1972895092,GREGORY,GRESSEL,"Randomized, Multicenter, Open-label, Phase 3 Study of Mirvetuximab Soravtansine in Combination With Bevacizumab Versus Bevacizumab Alone as Maintenance Therapy for Patients With FRα-high Recurrent Platinum-sensitive Epithelial Ovarian, Fallopian Tube, or Primary Peritoneal Cancers Who Have Not Progressed After Second Line Platinum-based Chemotherapy Plus Bevacizumab (GLORIOSA)",Open,Recruiting,2022-12-27,2029-04-01,Phase3,Abbvie,Industry,Fallopian Tube Neoplasms; Peritoneal Neoplasms; Hypersensitivity,Grand Rapids,MI,49503
NCT05598333,1972611929,ADRIAN,VAN-BAKEL,"A Phase 2, Adaptive, Double-blinded, Placebo Controlled, Randomized, Multi-center Trial to Evaluate the Efficacy, Safety and Tolerability of Intracoronary Infusion of AB-1002 in Adult Subjects With New York Heart Association (NYHA) Class III Heart Failure and Non-ischemic Cardiomyopathy",Open,Recruiting,2023-10-20,2030-12-31,Phase2,Askbio Inc,Industry,Heart Failure,Charleston,SC,29425
NCT06434818,1972601763,TANYA,ALIM,Development and Evaluation of Enhanced Digital-Chemosensory-Based Olfactory Training for Remote Management of Substance Use Disorders (EDITOR),Open,Recruiting,2023-07-07,2025-06-30,Phase2,Evon Medics Llc,Industry,Substance-Related Disorders; Alcoholism; Opioid-Related Disorders,Washington,DC,20060
NCT06671132,1972601763,TANYA,ALIM,Development and Evaluation of Computerized Chemosensory-Based Orbitofrontal Networks Training for Treatment of Pain (CBOT-Pain) Testing Phase,Open,Recruiting,2024-10-23,2026-01-30,Phase2,Evon Medics Llc,Industry,Chronic Pain; Low Back Pain,Washington,DC,20060
NCT06899802,1972560324,SCOTT,KUENNEN,"A Two-stage, Randomized, Double-blind, Dose Ranging Phase 2 Trial in Healthy Adult Participants to Investigate Optimal Dose and Dosing Regimen, and to Evaluate Safety and Immunogenicity of the Recombinant MVA-BN-WEV Vaccine",Open,Recruiting,2025-03-10,2027-03-01,Phase2,Bavarian Nordic,Industry,Encephalitis,Kansas City,MO,64151
NCT06098079,1972560324,SCOTT,KUENNEN,A Phase IV Study to Assess the Effect of Naltrexone Hydrochloride Extended Release (ER) and Bupropion Hydrochloride ER Combination (Contrave®/Mysimba®) on the Occurrence of Major Adverse Cardiovascular Events,Open,Recruiting,2024-01-03,2029-07-01,Phase4,Currax Pharmaceuticals,Industry,,Kansas City,MO,64151
NCT06267560,1972504066,EDWARD,STANKIEWICZ,"A Randomized Double-blind, Placebo-controlled, Multicenter Study to Evaluate the Efficacy, Safety and Tolerability of Pelacarsen (TQJ230) in US Black/African American & Hispanic Patient Populations With Elevated Lp(a) and Established Atherosclerotic Cardiovascular Disease",Open,Recruiting,2024-04-24,2027-03-11,Phase3,Novartis Pharmaceuticals,Industry,Cardiovascular Diseases; Atherosclerosis,Linwood,PA,19061
NCT05568654,1972035392,KANZA,QAISER,Reducing Antimicrobial Overuse Through Targeted Therapy for Patients With Community-Acquired Pneumonia,Open,Recruiting,2022-11-01,2026-06-30,Na,The Cleveland Clinic,Other,Pneumonia,Cleveland,OH,44195
NCT05601869,1962917799,NICOLE,WALKER-MARQUETTE,Impact of Improving Footwear Options for Women Veterans With Amputations,Open,Recruiting,2023-09-01,2025-12-31,Na,Va Office Of Research And Development,FED,,Minneapolis,MN,55417
NCT06405334,1962917799,NICOLE,WALKER-MARQUETTE,Kinematic and Neural Dynamics of Postural Instability in Parkinson's Disease,Open,Recruiting,2024-11-01,2028-10-31,,Va Office Of Research And Development,FED,Parkinson Disease,Minneapolis,MN,55417
NCT05702021,1962851451,BRITTANY,BUCKNER,"Implementing Contingency Management for Stimulant Use in Specialty Addiction Treatment Organizations (Center for Dissemination and Implementation Science at Stanford, Research Component #2)",Open,Recruiting,2023-06-07,2027-08-01,Na,Northwestern University,Other,"Behavior, Addictive",Chicago,IL,60623
