Patient State,Patient ZIP-3,Cohort Patient Count or %,White,Black or African American,Asian or Pacific Islander,Hispanic or Latino,Other,Unknown
US-MI,481,3792.0000,2505.00,451.00,101.00,256.00,73.00,406.00
US-AZ,850,3657.0000,1906.00,478.00,70.00,671.00,235.00,297.00
US-MD,212,3288.0000,782.00,1437.00,53.00,80.00,40.00,896.00
US-TX,750,3110.0000,1531.00,419.00,185.00,509.00,90.00,376.00
US-LA,705,3094.0000,1553.00,548.00,61.00,189.00,23.00,720.00
US-NV,891,3007.0000,1162.00,514.00,115.00,588.00,137.00,491.00
US-AZ,852,2931.0000,1777.00,225.00,63.00,331.00,159.00,376.00
US-MI,480,2889.0000,1942.00,399.00,60.00,131.00,45.00,312.00
US-TX,770,2782.0000,503.00,893.00,53.00,528.00,118.00,687.00
US-IL,606,2725.0000,841.00,944.00,107.00,540.00,88.00,205.00
US-MA,021,2554.0000,1197.00,514.00,125.00,579.00,68.00,71.00
US-GA,300,2527.0000,825.00,696.00,79.00,137.00,162.00,628.00
US-AZ,853,2466.0000,1300.00,226.00,39.00,536.00,126.00,239.00
US-TX,760,2419.0000,1458.00,279.00,64.00,340.00,39.00,239.00
US-TX,782,2390.0000,480.00,200.00,19.00,1081.00,23.00,587.00
US-OH,441,2362.0000,1053.00,542.00,23.00,195.00,64.00,485.00
US-FL,328,2265.0000,533.00,337.00,50.00,745.00,84.00,516.00
US-TX,761,2262.0000,1074.00,506.00,39.00,443.00,31.00,169.00
US-FL,347,2247.0000,641.00,144.00,25.00,864.00,69.00,504.00
US-CA,900,2196.0000,457.00,520.00,102.00,533.00,116.00,468.00
US-FL,327,2176.0000,982.00,172.00,33.00,358.00,70.00,561.00
US-VA,232,2029.0000,529.00,1028.00,14.00,201.00,83.00,174.00
US-NY,104,1993.0000,128.00,483.00,32.00,825.00,33.00,492.00
US-IL,600,1990.0000,1171.00,158.00,100.00,199.00,91.00,271.00
US-FL,331,1979.0000,182.00,260.00,25.00,1175.00,47.00,290.00
US-NJ,080,1944.0000,984.00,248.00,24.00,137.00,214.00,337.00
US-TX,773,1923.0000,787.00,187.00,32.00,216.00,88.00,613.00
US-CA,925,1868.0000,637.00,180.00,55.00,695.00,106.00,195.00
US-UT,840,1863.0000,1405.00,47.00,35.00,231.00,44.00,101.00
US-TX,775,1845.0000,685.00,185.00,16.00,266.00,91.00,602.00
US-FL,330,1834.0000,410.00,254.00,23.00,760.00,67.00,320.00
US-MA,018,1832.0000,1130.00,79.00,50.00,446.00,62.00,65.00
US-OH,452,1794.0000,920.00,605.00,24.00,109.00,33.00,103.00
US-NC,275,1757.0000,1138.00,297.00,35.00,128.00,39.00,120.00
US-CA,926,1755.0000,782.00,48.00,168.00,279.00,197.00,281.00
US-AZ,857,1743.0000,751.00,95.00,14.00,585.00,45.00,253.00
US-MI,483,1740.0000,1155.00,199.00,59.00,89.00,28.00,210.00
US-MA,027,1735.0000,1103.00,138.00,22.00,335.00,40.00,97.00
US-OH,440,1721.0000,987.00,101.00,10.00,138.00,33.00,452.00
US-WA,980,1718.0000,1055.00,121.00,141.00,185.00,41.00,175.00
US-KY,402,1715.0000,825.00,454.00,23.00,46.00,127.00,240.00
US-WI,532,1694.0000,432.00,448.00,15.00,203.00,51.00,545.00
US-LA,706,1673.0000,860.00,330.00,10.00,100.00,39.00,334.00
US-FL,334,1671.0000,752.00,228.00,35.00,299.00,46.00,311.00
US-IL,604,1667.0000,894.00,368.00,44.00,217.00,44.00,100.00
US-NY,112,1655.0000,375.00,462.00,97.00,271.00,59.00,391.00
US-IL,601,1618.0000,919.00,151.00,77.00,235.00,78.00,158.00
US-CA,923,1593.0000,542.00,195.00,31.00,629.00,29.00,167.00
US-NJ,070,1588.0000,516.00,250.00,56.00,324.00,132.00,310.00
US-CA,920,1585.0000,682.00,51.00,93.00,417.00,228.00,114.00
US-TX,752,1576.0000,498.00,530.00,41.00,304.00,33.00,170.00
US-OH,432,1565.0000,593.00,390.00,12.00,55.00,35.00,480.00
US-GA,301,1552.0000,734.00,226.00,11.00,54.00,118.00,409.00
US-NY,117,1508.0000,783.00,108.00,42.00,188.00,42.00,345.00
US-WA,982,1499.0000,1019.00,59.00,41.00,184.00,41.00,155.00
US-PA,191,1483.0000,414.00,523.00,36.00,199.00,110.00,201.00
US-CA,917,1451.0000,323.00,94.00,118.00,614.00,60.00,242.00
US-SC,296,1439.0000,951.00,177.00,5.00,121.00,20.00,165.00
US-FL,338,1420.0000,588.00,126.00,14.00,282.00,191.00,219.00
US-CA,928,1408.0000,494.00,60.00,118.00,472.00,70.00,194.00
US-MI,488,1399.0000,1036.00,46.00,22.00,71.00,40.00,184.00
US-CA,921,1397.0000,523.00,72.00,163.00,387.00,139.00,113.00
US-PA,190,1397.0000,700.00,170.00,28.00,88.00,161.00,250.00
US-MN,554,1392.0000,593.00,178.00,22.00,62.00,50.00,487.00
US-OR,973,1387.0000,811.00,30.00,10.00,108.00,38.00,390.00
US-OR,974,1368.0000,871.00,50.00,15.00,100.00,47.00,285.00
US-MI,490,1357.0000,871.00,123.00,20.00,49.00,48.00,246.00
US-OR,972,1350.0000,675.00,89.00,52.00,115.00,47.00,372.00
US-TN,370,1331.0000,937.00,160.00,15.00,42.00,42.00,135.00
US-FL,337,1328.0000,733.00,131.00,22.00,116.00,85.00,241.00
US-CA,956,1307.0000,605.00,63.00,47.00,167.00,86.00,339.00
US-MI,482,1294.0000,319.00,723.00,32.00,74.00,12.00,134.00
US-FL,336,1287.0000,342.00,230.00,21.00,339.00,58.00,297.00
US-FL,346,1281.0000,834.00,55.00,16.00,147.00,58.00,171.00
US-CA,945,1273.0000,359.00,97.00,94.00,159.00,99.00,465.00
US-WI,531,1265.0000,630.00,59.00,9.00,98.00,42.00,427.00
US-VA,238,1256.0000,471.00,474.00,10.00,160.00,46.00,95.00
US-TX,799,1250.0000,147.00,30.00,4.00,686.00,15.00,368.00
US-NC,283,1241.0000,505.00,314.00,15.00,84.00,144.00,179.00
US-WA,981,1224.0000,664.00,118.00,109.00,171.00,30.00,132.00
US-LA,704,1224.0000,674.00,174.00,31.00,83.00,23.00,239.00
US-CA,958,1211.0000,414.00,203.00,70.00,228.00,59.00,237.00
US-LA,707,1210.0000,623.00,164.00,9.00,74.00,29.00,311.00
US-MI,484,1183.0000,916.00,64.00,18.00,66.00,24.00,95.00
US-GA,302,1174.0000,411.00,365.00,8.00,43.00,55.00,292.00
US-IL,605,1168.0000,663.00,85.00,48.00,170.00,50.00,152.00
US-WI,549,1164.0000,610.00,40.00,12.00,40.00,43.00,419.00
US-OK,731,1161.0000,674.00,225.00,10.00,113.00,32.00,107.00
US-NY,100,1156.0000,265.00,235.00,61.00,292.00,41.00,262.00
